Name,Category,Address,Latitude,Longitude
Watano Beach House Diani,,,-4.2994547,39.5843468
Saffron Villas,Villa,,-4.3134298,39.5764694
Lux Suites Sanuna Villas Diani,,,-4.3024588,39.5800056
A step from ocean,Villa,,-4.2992401,39.5821419
Diani 2BR Coastal Villa - 4 Mins To The Beach,Villa,,-4.2696242,39.594738
Villa Black Pearl with large pool - Paradise for Families,,,-4.3055902,39.5786896
BEACH VILLA DIANI,,,-4.28687,39.5826912
10 minutes to the beach! Villa Sultanas Luxury Villa with private swimming pool,Villa,,-4.3238988,39.5709305
Sea la vie - Macheo,Villa,,-4.2694001,39.5942612
"Luxury Private Villas in Diani Beach, Mombasa Kenya",,,-4.3237648,39.5617447
"Cosy Villa along Diani Beach Road, that combines elegance and tranquility.",,,-4.2975001,39.5827904
"Luxury Private Villas in Diani Beach, Mombasa Kenya",,,-4.3237648,39.5617447
"Cosy Villa along Diani Beach Road, that combines elegance and tranquility.",,,-4.2975001,39.5827904
Backdoor Villa,Villa,,-4.2651033,39.5935669
Sea la vie - Macheo,Villa,,-4.2694001,39.5942612
Swahili Design Luxury Villa,,,-4.301897,39.5828018
Oasis Villas- Diani Beach -5 mins walk to the Beach!,Villa,,-4.3198299,39.5719109
Villa Mahaba Diani Beach,,,-4.2890701,39.5828362
Diani Paradise Villas Resort,,,-4.2945499,39.5800095
2 & 3 Bedroom Villa Near Diani Beach,,,-4.268774,39.5908546
3-bedroom villa in enchanting Diani Beach with AC,,,-4.3286018,39.5697937
Swahili Oasis,Villa,,-4.2974901,39.5785103
"Our vacation rental home is a haven of peace and bliss, surrounded by nature.",,,-4.2877388,39.5847015
DIANI 2BDR,,,-4.28198,39.5984917
Villa Zumaridi,Villa,,-4.280591,39.5789375
Roseville,,,-4.29667,39.5783806
Lux Suites Diani Holiday Villas,,,-4.2700348,39.5946083
Marvelous 2 bedroom villa with AC in Diani,,,-4.320435,39.5664711
"Sagwe Riviera Diani, Kenya",,,-4.2617898,39.5916481
"South Fork Diani, 3 bedroom with pool.",,,-4.3418665,39.5571823
"Villa with own compound with pool ,5 minutes to the beach ,shops and restaurants",,,-4.2879348,39.5652351
Paradise Awaits,Villa,,-4.3167,39.5724716
Sublime Villa 4BR 2 mins 2 beach,,,-4.3088002,39.5803909
Villa Duran - 5 bedrooms,,,-4.2944498,39.5773315
Villa SeaRender Deluxe Villa,,,-4.3217449,39.5625877
Villa Lamuhouse Diani Beach,Villa,,-4.3216,39.571209
Greenfield Villa D- Diani,,,-4.3014708,39.5797195
Sea Breeze Villas Kenya,Villa,,-4.2996402,39.5736618
Ras Kikadini Beach House,Villa,,-4.2092237,39.6125336
Oasis Diani Beach Villas - Two-Bedroom Villa,,,-4.3200998,39.5690384
3 Bedrom Villa 50 meters 2 Beach,,,-4.3017602,39.5792999
Leshan Luxury Villas,,,-4.2928338,39.5752144
Queens Chateau Boutique Villa,,,-4.3189859,39.5735626
Pendo Villas  Diani Beach,,,-4.300087,39.5711937
Your wild villa escape near the Diani beach! The Heart of Serenity.,,,-4.3251829,39.5642052
African Huts Villas Diani Your wild villa escape near the Diani beach!,,,-4.2878408,39.5847244
Mbuyu Villa - 5min from the beach!!,,,-4.2660732,39.5904961
Fantastic villa with AC in Tiwi - 8 bedrooms for ultimate relaxation,,,-4.2171679,39.5961151
Oasis Villa Diani Beach- Two Bedroom,Villa,,-4.2865281,39.5381737
Lux Suites Diani Airstrip Villas,,,-4.3040771,39.5788574
Kivuli Villas Diani-3 Bedrooms,Villa,,-4.3088002,39.5770912
Luxury villa with 2 bedrooms,,,-4.3221192,39.5744095
Villa Sunshine,Villa,,-4.2639399,39.5939713
Doric Cottages Diani,,,-4.2981658,39.5786209
Nimepata Paradiso Ndovu,,,-4.28792,39.5653
